发展_NN 1934814_CD
灰色_AD 收入_VV 2473_CD
汇票_NN 2464_CD
金库_NN 2457_CD
金卡_NN 2453_CD
净_CS 赚_VV 2435_CD
月报_NN 2432_CD
典_NN 当_P 2422_CD
风险_NN 投资_NN 2402_CD
跌势_NN 2398_CD
投机者_NN 2398_CD
公平_JJ 交易_NN 2390_CD
承兑_VV 2384_CD
动产_VV 2378_CD
国货_NN 2376_CD
到_VV 账_NN 2373_CD
当_P 期_NN 2351_CD
闲钱_NN 2346_CD
每日_NT 经济_VV 新闻_JJ 2345_NN
清仓_NR 2323_CD
联华_NN 2318_CD
纪念币_NN 2315_CD
报税_NN 2305_CD
股票_NN 市场_NN 2293_CD
创投_VV 2287_CD
滚雪球_NN 2277_CD
按日_NT 2277_CD
压价_NN 2261_CD
外高桥_AD 2257_CD
牌价_NN 2244_CD
熊市_NN 2243_CD
长阳_NR 2243_CD
假钞_NN 2240_CD
领票_NN 2238_CD
汇出_VV 2230_CD
另行_AD 通知_VV 2227_CD
张裕_NN 2216_CD
蓄势_NN 2181_CD
缴款_NN 2178_CD
亚信_NN 2172_CD
国信_NN 2164_CD
空头_NN 2160_CD
投资性_NN 2135_CD
营业_NN 执照_VV 2131_CD
核战争_NN 2130_CD
四季度_NN 2125_CD
汇市_NN 2107_CD
合资_JJ 企业_NN 2102_CD
催收_VV 2095_CD
广厦_JJ 2081_NN
费率_NN 2074_CD
贷款人_NN 2059_CD
普涨_NN 2051_CD
金融城_NN 2048_CD
科学城_NN 2047_CD
储蓄卡_NN 2041_CD
股息_NN 2040_CD
收市_VV 2037_CD
战略家_AD 2037_CD
负债率_NN 2030_CD
汇兑_VV 2001_CD
币值_NN 1979_CD
账簿_NN 1964_CD
套牢_NN 1953_CD
康佳_NR 1922_CD
盲目性_NN 1914_CD
中华网_NN 1905_CD
出租人_NN 1892_CD
点数_NN 1887_CD
债市_NN 1886_CD
停板_NN 1873_NN
交易区_NN 1871_CD
克拉_VV 1860_CD
黑金_NN 1854_CD
买通_VV 1840_CD
承销_VV 1839_CD
华安_NN 1831_CD
操作员_NN 1825_CD
典_NN 当_P 行_NN 1816_CD
早盘_NN 1815_CD
炎黄_NN 1815_CD
网商_NN 1808_CD
持卡人_NN 1805_CD
宝洁_NN 1790_CD
信托_NN 公司_NN 1788_CD
取现_VV 1780_CD
放高_AD 利贷_VV 1776_CD
凌云_NN 1736_CD
纯金_NN 1733_CD
祁连山_AD 1727_CD
公债_NN 1727_CD
变现_VV 1714_CD
付息_NN 1710_CD
度量_NN 1709_CD
外汇_NN 管理_NN 1707_CD
分销商_NN 1705_CD
遗产税_NN 1699_CD
监事_NN 长_VA 1687_CD
融资额_NN 1680_CD
兼_P 营_NN 1679_CD
金融_NN 市场_NN 1678_CD
最_AD 高价_JJ 1673_NN
贴现_VV 1672_CD
美国_NR 银行_VV 1668_CD
上海_NR 财经_NR 大学_NN 1649_CD
鞍钢_NN 1645_CD
撤资_NN 1632_CD
接盘_NN 1629_CD
救世_NN 主_VA 1626_CD
开卡_VV 1613_CD
后撤_NN 1605_CD
阿胶_NN 1602_CD
金融股_NN 1598_CD
结汇_VV 1583_CD
无息_JJ 贷款_NN 1582_CD
营销部_NN 1579_CD
税基_NN 1579_CD
对冲_AD 1566_CD
海龙_NN 1565_CD
安信_NN 1564_CD
萤火虫_NN 1548_CD
通联_VV 1530_CD
步步_NN 高_VA 1526_CD
规划委_NN 1524_CD
中_LC 签_VV 1507_CD
收盘价_NN 1500_CD
国际_NN 大厦_NN 1499_CD
机制性_NN 1493_CD
挤兑_NN 1490_CD
比特_AD 1475_CD
开盘_NN 价_NN 1471_CD
六合彩_NN 1448_CD
存款人_NN 1446_CD
平_JJ 仓_NN 1439_CD
全聚_AD 德_VV 1434_CD
公募_NN 1429_CD
全面_AD 发力_NN 1429_CD
韵达_NN 1422_CD
鼎立_NN 1419_CD
银监局_NN 1408_CD
中国_NR 联通_NN 1404_CD
乐视网_NN 1402_CD
中国_NR 经营报_NN 1398_CD
满_OD 堂_M 红_CC 1394_CD
国投_NN 1392_CD
选择权_NN 1389_CD
金马_NN 1387_CD
出资额_NN 1375_CD
承销商_NN 1365_CD
新卡_JJ 1353_NN
热钱_NN 1349_CD
经济_NN 基本面_NN 1343_CD
通货_NN 紧缩_VV 1341_CD
特别_AD 关注_VV 1339_CD
币种_NN 1329_CD
银元_NN 1328_CD
通货_NN 1326_CD
杀跌_VV 1320_CD
股份_NN 有限_VA 公司_NN 1314_CD
自由_P 竞争_NN 1312_CD
新大_JJ 陆1306_NN
资产_VV 负债率_NN 1301_CD
暂行_JJ 办法_NN 1296_CD
分理处_NN 1292_CD
涨跌幅_NN 1289_CD
截止日_NN 1287_CD
所有_DT 权证_NN 1287_NN
收进_VV 1280_CD
债权国_NN 1266_NN
华新_NN 1247_CD
天龙_NN 1238_CD
百_CD 事_NN 可乐_VV 1238_CD
农林_NN 牧渔_NN 1223_CD
私募_NR 1214_CD
华西村_NN 1210_CD
商誉_NN 1210_CD
奇虎_NN 1209_CD
银币_NN 1202_CD
抄底_NN 1191_CD
实施_VV 细则_NN 1188_CD
经济_AD 学界_VV 1181_CD
减仓_NN 1175_CD
信用证_VV 1162_CD
购回_VV 1157_CD
卖主_NN 1155_CD
管理_NN 办法_NN 1151_CD
万_CD 事达_NN 1150_CD
交易商_NN 1140_CD
行话_NN 1139_CD
随行_VV 就_AD 市_VV 1135_CD
领跌_NN 1125_CD
国华_NN 1119_CD
投资家_NN 1115_CD
包钢_VV 1113_CD
信贷_NN 资产_NN 1105_CD
汇源_NN 1102_CD
中长线_NN 1094_CD
包销_VV 1094_CD
方兴_NN 1093_CD
公司_NN 制_VV 1071_CD
水仙_NN 1069_CD
长岭_NR 1067_CD
嘉_CD 实_AD 1067_CD
证券法_NN 1062_CD
新城市_JJ 1060_NN
五_CD 环_M 1058_NN
尾盘_NN 1058_CD
三_CD 农_NN 1057_CD
布告_NN 1052_CD
中农_NR 1047_CD
组选_NN 1041_CD
城投_NN 1031_CD
跨年度_NN 1027_CD
五道口_NN 1024_CD
文峰_NN 1023_CD
翻_VV 两_CD 番_M 1022_CD
信贷员_NN 1019_CD
还_AD 本_DT 1015_CD
均_AD 线_NN 1015_CD
保护价_NN 1013_CD
中国_NR 国航_NN 1010_CD
大_JJ 东海_NR 1009_CD
大盘股_NN 1007_CD
商社_NN 1002_CD
北大_NR 荒_NN 1001_CD
信达_NN 993_CD
总_JJ 账_NN 986_CD
杜邦_NN 982_CD
重_AD 仓_P 979_CD
丹江_NN 978_CD
普通_JJ 股971_NN
香梨_NN 968_CD
聚酯_NN 966_CD
分散化_NN 966_CD
汇通_VV 961_CD
老凤祥_NN 958_CD
资产_NN 评估_VV 954_CD
磁卡_NN 950_CD
个_M 股_NN 947_CD
百_CD 大_VA 941_CD
投资界_NN 938_CD
低_JJ 开_VV 934_CD
中北_NR 930_CD
商业城_NN 928_CD
气势_NN 如_P 虹_NN 926_CD
中石油_NN 925_CD
扣款_NN 921_CD
上证_JJ 综指_NN 918_CD
仁_NN 和_P 913_CD
原始_AD 积累_VV 911_CD
摩根_NN 大通_AD 911_CD
验钞机_NN 911_CD
银行界_NN 906_CD
金融_JJ 资产_NN 904_CD
审计师_NN 903_CD
广深_JJ 铁路_NN 902_CD
追涨_VV 897_CD
储蓄率_NN 889_CD
波幅_NN 889_CD
流标_NN 886_CD
黑豹_NN 876_CD
日经_NR 指数_NN 873_CD
加仓_NN 869_CD
寄放_VV 865_CD
中化_JJ 865_NN
南网_NN 864_CD
宽限期_NN 863_CD
贵宾_JJ 厅_NN 858_CD
估值_NN 852_CD
合股_NT 846_CD
商业_NN 周刊_NN 843_CD
售楼部_NN 840_CD
金鼎_NN 837_CD
龙虎榜_NN 835_CD
评估师_NN 831_CD
浦发_VV 银行_NN 831_CD
投资型_NN 830_CD
诡计_NN 830_CD
天_M 保_VV 827_CD
万华_NT 827_CD
苏泊尔_NN 817_CD
超跌_VV 814_CD
银质_NN 811_CD
势态_NN 807_CD
当铺_CS 805_CD
净额_NN 805_CD
安永_NN 802_CD
天弘_NN 800_CD
中国_JJ 证券报_NN 798_CD
古_JJ 钱币_NN 798_CD
配股_NN 794_CD
爱立信_VV 793_CD
急_CS 升_VV 793_CD
金泰_NN 787_CD
狂跌_AD 786_CD
滞胀_NN 784_CD
抢单_VV 781_CD
复利_NR 781_CD
权证_NN 780_NN
信用度_NN 780_CD
白金卡_NN 779_CD
重_AD 估_VV 774_CD
流转税_NN 774_CD
长运_AD 771_CD
硬_AD 通货_VV 771_CD
华信_NN 769_CD
吴_NN 中_LC 763_CD
华源_NN 762_CD
中铁_JJ 二局760_NN
耐克_NN 760_CD
产成品_NN 758_CD
踏空_NN 752_CD
中集_NR 749_CD
新鸿_JJ 基_NN 747_CD
中科_JJ 747_NN
选_OD 股_M 741_CD
担_VV 保费_VV 735_CD
雅戈尔_NN 729_CD
群聚_NN 728_CD
同_DT 城_NN 725_CD
开仓_NN 722_CD
出清_VV 721_CD
高点_NN 717_CD
中信_JJ 集团_NN 711_CD
波峰_NN 709_CD
风险_NN 系数_NN 709_CD
交银_NN 707_CD
优先_AD 股_VV 690_CD
网通_NN 688_CD
创智_NN 681_CD
新机_NN 制_VV 679_CD
基本点_NN 673_CD
换汇_VV 672_CD
中标者_NN 669_CD
财智_NN 669_CD
资助金_NN 667_CD
实体_NN 经济_NN 667_CD
偏_AD 转_VV 655_CD
购汇_VV 653_CD
白猫_NN 652_CD
凤凰_NN 卫视_NN 646_CD
递延_VV 645_CD
康达_NN 643_CD
证券_NN 日报_NR 643_CD
实得_VV 638_NN
上海_JJ 证券报_NN 635_CD
三立_NT 631_CD
老千628_NT
控股_NN 有_VE 限公司_NN 626_CD
本_DT 票_NN 626_CD
基民_NN 626_CD
跳空_NN 625_CD
分界点_NN 623_CD
引开_VV 623_CD
大牛市_AD 617_CD
收藏品_NN 616_CD
投标者_NN 610_CD
民丰_NN 604_CD
持仓_NN 601_CD
四_CD 通_P 599_CD
昌河_NN 593_CD
亏损面_NN 593_CD
晨星_NR 591_CD
基价_NN 590_CD
代理制_NN 590_CD
电汇_NN 590_CD
中小_JJ 盘股_NN 589_CD
资本_NR 密集型_JJ 588_NN
虹桥_NN 机场_NN 588_CD
中投_JJ 公司_NN 586_CD
有偿_AD 转让_VV 581_CD
满仓_NN 580_CD
回收期_NN 579_CD
缩量_VV 578_CD
评估费_NN 577_CD
备付_VV 金_VE 576_CD
混业_NN 572_CD
财付通_NN 570_CD
银华_NN 566_CD
三元565_NN
华光_NN 565_CD
万_CD 家乐_NN 562_CD
优酷网_NN 555_CD
外汇_NN 管制_NN 551_CD
外汇_NN 资金_NN 551_CD
空仓_NN 550_CD
货币_NN 流通_NN 549_CD
纸钞_NN 549_CD
流动_JJ 资产_NN 545_CD
外管局_NN 542_CD
横盘_NN 538_CD
兴发_VV 537_CD
止损_VV 535_CD
艺龙_NN 534_CD
九_CD 龙山_NN 534_CD
基期_NN 530_CD
中房_NR 528_CD
瑞士_NN 法郎_NN 525_CD
晨鸣_NT 524_CD
建信_NN 520_CD
商网_NN 516_CD
做空_NN 516_CD
长_AD 盛_VA 515_CD
鸿基_NN 509_CD
建仓_NN 509_CD
外盘_NN 508_CD
纯银_JJ 507_NN
持币_NN 503_CD
山航_NN 503_CD
注册费_NN 503_CD
实盘_NN 497_CD
办税厅_NN 497_CD
体制性_NN 491_CD
海纳_NN 487_CD
大化_CD 487_CD
安联_VV 486_CD
黑卡_JJ 485_NN
金陵_NN 饭店_NN 485_CD
摊销_NN 484_CD
剩余_NN 价值_NN 482_CD
半年报_JJ 481_NN
天士力_NN 480_CD
抛盘_NN 480_CD
证券_NN 时_LC 报_VV 479_CD
绿景_NN 479_CD
东阿_NN 阿胶_NN 478_CD
龙卡_NN 476_CD
耀华_NN 476_CD
补仓_NN 475_CD
绩优股_NN 474_CD
股利_NN 474_CD
市场报_NN 470_CD
提单_VV 470_CD
新材_NN 469_CD
春兰_NR 467_CD
创投_VV 公司_NN 465_CD
汇款人_NN 464_CD
缴足_VV 464_CD
售汇_NN 461_CD
分析师_NN 457_CD
控股权_NN 456_CD
冲销_NN 455_CD
精_AD 算师_VV 454_CD
等价_JJ 交换_NN 453_CD
质押物_NN 451_CD
祥龙_NN 447_CD
赛迪_NN 446_CD
华讯_NN 444_CD
市盈率_NN 443_CD
里拉_NN 441_CD
领军者_NN 438_CD
宁波港_AD 436_CD
交强险_NN 435_CD
邵氏_NN 435_CD
普跌_NN 428_CD
国际_NN 银行_VV 426_CD
北京_NN 银行_VV 425_CD
定投_VV 424_CD
银行部_NN 424_CD
中纺_NN 422_CD
波音_NN 公司_NN 421_CD
莱钢_NR 419_CD
狮头_NN 415_CD
出超_VV 414_CD
星美_NN 413_CD
华鼎_NN 413_CD
丰华_NR 412_CD
对_P 赌_VV 412_CD
易_AD 宝_NN 411_CD
日照港_AD 410_CD
宏观_VV 经_P 济学_NN 409_CD
持有_VV 人_NN 406_CD
扛住_VV 405_CD
尾市_NN 403_CD
科达_NN 402_CD
东盛_NN 401_CD
法律部_NN 400_CD
具结_VV 400_CD
东信_NN 396_CD
宏业_NN 391_CD
金银币_NN 390_CD
单选_NN 388_CD
武昌鱼_NN 387_CD
二_CD 季度_NN 386_CD
集资款_NN 386_CD
天海_JJ 384_NN
担保法_NN 382_CD
股改_NN 380_CD
收汇_VV 380_CD
财经_AD 网_VV 380_CD
波谷_NN 379_CD
发行额_NN 378_CD
英达_NN 378_CD
氯碱_NN 377_CD
汽油机_NN 376_CD
担_VV 保金_VV 374_CD
小阳_NN 370_CD
泰格_NN 370_CD
安全度_NN 366_CD
雷伊_NN 363_CD
赊销_NN 362_CD
湖山_NN 362_CD
金融部_NN 360_CD
受益人_NN 359_CD
花雕_NN 359_CD
入市_VV 356_CD
健民_NN 355_CD
交易税_NN 354_CD
金瑞_NN 354_CD
开户费_NN 352_CD
国民_NN 银行_VV 352_CD
仓单_NN 351_CD
南化_NN 351_CD
工作_NN 方案_NN 348_CD
伪钞_NN 347_CD
外汇_NN 资产_NN 345_CD
华富_NN 345_CD
大元_CD 345_CD
淡_CD 马锡_NN 344_CD
中证_JJ 344_NN
携程网_NN 340_CD
古币_NR 339_CD
坏账率_NN 338_CD
黄页_NN 338_CD
天鸿_NN 337_CD
三力336_NN
诺安_NN 331_CD
正常性_JJ 326_NN
港铁_JJ 公司_NN 326_CD
抬轿_NN 324_CD
侨汇_NN 323_CD
新高_JJ 点_NN 323_CD
商业_NN 银行法_NN 322_CD
热点_NN 话题_NN 320_CD
中国_NR 太保_NN 320_CD
租购_NN 319_CD
黄金_NN 储备_NN 317_CD
百_CD 事_NN 316_CD
大摩_CD 316_CD
记录员_NN 316_CD
纪念钞_NN 311_CD
研究_NN 报告_NN 307_CD
冲高_VV 305_CD
国际_NN 金融报_NN 305_CD
出口业_NN 304_CD
卡特尔_AD 304_CD
邮币卡_NN 303_CD
新天_NT 303_CD
秋林_NR 302_CD
追收_VV 302_CD
地_DEV 量_VV 302_CD
金果_NN 302_CD
亚星_NN 302_CD
至_P 高点_NT 301_CD
复权_JJ 300_NN
国库券_NN 298_CD
金融史_NN 297_CD
总成_JJ 交量_NN 297_CD
农行卡_NN 296_CD
富国_JJ 银行_NN 293_CD
摩根_NN 斯_DT 坦利_NN 290_CD
发行期_NN 290_CD
天香_NN 289_CD
厦华_NN 288_CD
煤气化_NN 287_CD
国资局_NN 286_CD
探路者_NN 285_CD
对_P 价_NN 284_CD
抗跌_NN 283_CD
卡包_NN 282_CD
金帝_NN 282_CD
平均_AD 利润_VV 281_CD
中_LC 恒_AD 281_CD
自然人_AD 280_CD
天方_NN 280_CD
法人股_NN 279_CD
簿册_NN 275_CD
点位_NN 275_CD
中国_NR 经济_NN 时_LC 报_VV 273_CD
看跌_VV 272_CD
国通_NN 272_CD
断点_NN 266_CD
法币_NN 264_CD
普天_NN 263_CD
达标者_NN 263_CD
中_LC 润_VV 261_CD
银泰_NN 百货261_NN
投资业_NN 261_CD
律师_NN 事务_NN 所_MSP 261_CD
金交_NN 所_MSP 261_CD
大_JJ 降_VV 260_CD
概_AD 念股_VV 259_CD
汇丰_AD 银行_VV 259_CD
套利_NN 256_CD
中国_JJ 企业家_NN 255_CD
中联_VV 重科_JJ 255_NN
货币_NN 战争_NN 254_CD
物物_NN 交换_NN 254_CD
中恒_JJ 集团_NN 254_CD
东软_JJ 集团_NN 253_CD
削价_NN 252_CD
国富论_NN 249_CD
新大洲_AD 249_CD
景顺_NN 长城_AD 247_CD
申赎_NN 246_CD
申报率_NN 245_CD
普卡_JJ 245_NN
集资额_NN 244_CD
管理_NN 学家_NN 240_CD
即期_CS 239_CD
目标_NN 公司_NN 239_CD
零_CD 存整取_VV 239_CD
中华_NN 工商_NN 时_LC 报_VV 237_CD
重仓股_NR 235_CD
百花村_NN 233_CD
合作_JJ 协议_NN 232_CD
金盘_NN 230_CD
金岭_NN 230_CD
海泰_NN 229_CD
加拿_VV 大元_NN 229_CD
中小_JJ 散户_NN 228_CD
建设_VV 银行_NN 226_CD
南京港_NN 225_CD
营口_NN 港_NN 225_CD
融资性_NN 224_CD
折旧率_NN 222_CD
日线_NN 221_CD
中青_NR 宝_NN 221_CD
存定期_NN 221_CD
华南城_NN 221_CD
宏盛_NN 219_CD
雅虎_NN 公司_NN 218_CD
联电_NN 217_CD
贝塔_NR 217_CD
展讯_NN 216_CD
封盘_NN 215_CD
承销_VV 团_NN 215_CD
保函_NN 213_CD
信诺_NN 213_CD
托收_VV 213_CD
全局_AD 观_VV 211_CD
七_CD 乐彩_NN 211_CD
云天化_NN 209_CD
人头税_NN 209_CD
销卡_NN 208_CD
微观_JJ 经济学_NN 208_CD
瑞银_NN 集团_NN 208_CD
正_AD 兴_P 208_CD
上海_NN 机场_NN 207_CD
垃圾股_NN 207_CD
伊泰_NN 207_CD
惠天_NN 207_CD
补充_VV 协议_NN 206_CD
君子_NN 协定_NN 206_CD
定税_VV 205_CD
掉期_NN 204_CD
国瓷_NN 204_CD
海富通_NN 204_CD
小盘股_NN 201_CD
大通_AD 银行_VV 201_CD
宜华_NN 201_CD
海普瑞_NN 200_CD
交易厅_NN 200_CD
首_NOI 局_NN 199_CD
国美_NN 电器_NN 199_CD
净_CS 收入_VV 199_CD
卡种_NN 198_CD
投资量_NN 197_CD
万_CD 通地产_VV 192_CD
新黄_JJ 浦192_NN
最低_AD 值_VV 191_CD
唐山港_NN 189_CD
六_CD 渡桥_NN 189_CD
双马_NR 188_CD
黄金宝_NN 188_CD
国发_NN 188_CD
威达_NN 188_CD
中侨_NR 187_CD
泡沫_NN 经济_NN 186_CD
小_JJ 肥羊_NN 185_CD
南方_NN 公司_NN 185_CD
限售_VV 股_VE 184_CD
同_DT 庆_NN 183_CD
罗莱_NN 家纺_NN 181_CD
汇划_NN 178_CD
超标者_NN 177_CD
赌马_NN 174_CD
瑞龙_NN 174_CD
协调部_NN 174_CD
跨国_JJ 银行_NN 174_CD
公股_NN 174_CD
张江_NN 高_JJ 科_NN 174_CD
重庆_AD 银行_VV 172_CD
禁止_VV 令_VV 172_CD
天富_NN 172_CD
产业_NN 资本_NN 172_CD
九_CD 州通_VV 171_CD
思达_NN 170_CD
揽存_NN 170_CD
股权_NN 转让_VV 协议_NN 169_CD
南控_NN 169_CD
新鸿基_JJ 地产_NN 169_CD
江钻_NN 168_CD
麦考林_NN 168_CD
固定资_NN 本_DT 166_CD
卖空_NN 165_CD
补进_VV 165_CD
巴克莱_NN 银行_VV 165_CD
三_CD 普_P 165_CD
双_CD 币_NN 164_CD
光明_JJ 乳业_NN 162_CD
经手_AD 费_VV 162_CD
投资品_NN 161_CD
建通_VV 161_CD
浦银_NN 安盛_NN 161_CD
古越_JJ 龙山_NN 161_CD
中国_NR 建设_VV 银行_NN 161_CD
筑底_NN 161_CD
理财_NN 周报_NN 161_CD
煤炭股_NN 160_CD
证券_NN 市场_NN 周刊_NN 159_CD
抵押率_NN 159_CD
税点_NN 158_CD
农化_NN 158_CD
涨停板_NN 158_CD
美股_NR 157_CD
零_CD 首付_AD 156_CD
买价_NN 155_CD
中国_NR 石化_NN 153_CD
中资_NN 银行_VV 153_CD
套汇_VV 152_CD
飚升_NN 152_CD
利息率_NN 152_CD
汇丰_JJ 集团_NN 152_CD
企业_NN 集团_NN 150_CD
蒙牛_JJ 乳业_NN 150_CD
银建_NN 147_CD
转押_VV 145_CD
现值_JJ 145_NN
绩差_NN 144_CD
锦州港_NN 144_CD
光亚_NN 144_CD
宝盈_NN 144_CD
北新_NR 路桥_NN 144_CD
组织_NN 机构_NN 代码证_NN 144_CD
桐君阁_NN 143_CD
金地_NN 集团_NN 143_CD
海欣_NN 143_CD
国有_VV 股_NN 141_CD
颈圈_NN 139_CD
中国_NR 商报_NN 139_CD
护盘_NN 139_CD
铜城_NN 139_CD
旭光_NN 138_CD
托普_NN 136_CD
芝加_VV 哥_NN 商品_NN 交易所_NN 135_CD
发票_NN 管理_NN 办法_NN 135_CD
动力源_NN 133_CD
换股_AD 132_CD
高息_NN 揽存_VV 132_CD
南顺_NN 132_CD
袁_VV 大头_AD 132_CD
公司_NN 章程_NN 131_CD
三_CD 联_NN 商社_NN 131_CD
浦银_NN 130_CD
瑞士_NN 银行_VV 130_CD
投资学_NN 129_NN
华天_NN 酒店_NN 129_CD
永_AD 大_VA 129_CD
附单_NN 129_CD
华润_JJ 集团_NN 128_CD
波段性_NN 128_CD
上海_JJ 金融_NN 学院_VV 128_CD
中国_NR 人民_NN 保险_NN 公司_NN 127_CD
成都_AD 路桥_VV 127_CD
博通_NN 127_CD
新_JJ 财富_NN 127_CD
川_AD 大_JJ 智胜_NN 127_CD
汇丰_AD 晋_DEV 信_VV 126_CD
盘_M 后_LC 126_CD
鲁泰_NN 126_CD
平邮_NN 125_CD
江苏舜_NN 天_VV 125_CD
清华_NN 紫光_NN 124_CD
金健_NN 米业_NN 124_CD
恒_AD 立_P 124_CD
天宏_NN 123_CD
南京_NN 银行_VV 123_CD
国_NN 中_LC 123_CD
物贸_NN 123_CD
拆伙_NN 121_CD
爱建_NN 121_CD
宝信_NN 120_CD
多_CD 伦_M 股份_NN 120_CD
期货_NN 交易_NN 管理_NN 条例_NN 120_CD
承诺费_NN 120_CD
维加_VV 118_CD
空开_JJ 118_NN
收购人_NN 118_CD
记账员_NN 117_CD
市净率_NN 117_CD
国_NN 联安_VV 117_CD
违约率_NN 117_CD
福日_NN 117_CD
金普_NN 117_CD
浮动_JJ 汇率_NN 制_VV 116_CD
验旧_NN 116_CD
斯_DT 达康_NN 113_CD
提货_NN 单_AD 112_CD
银率网_NN 111_CD
苏宁_NR 环球_NN 111_CD
浪莎_NN 111_CD
潮宏基_NN 110_CD
泸州_NN 老窖_NN 股份_NN 有限_VA 公司_NN 108_CD
到_VV 期日_NN 107_CD
宝光_NN 107_CD
罗克_NN 韦_NN 尔_VC 107_CD
雪莱_NN 特_AD 107_CD
中国_NR 宝安_NN 106_CD
成长性_NN 106_CD
保_VV 增长_VV 104_CD
中国_NN 信达_NN 资产_NN 管理_VV 公司_NN 104_CD
融资款_NN 104_CD
大华_AD 银行_VV 104_CD
圣方_NN 104_CD
质押品_NN 103_CD
保网_NN 103_CD
资本利_AD 得税_VV 103_CD
创业网_NN 102_CD
企业_NN 所_MSP 得_VV 税法_NN 102_CD
申购款_NN 101_CD
互联网_NN 周刊_NN 101_CD
试点_NN 方案_NN 100_CD
精伦_NR 100_CD
完税_JJ 证_NN 100_NN
方_AD 大_JJ 特钢_NN 100_CD
借记_NN 99_CD
下轨_NN 99_CD
假账_JJ 98_CD
债务国_NN 98_CD
统计系_NN 98_CD
计量_NN 经_VV 济学_NN 97_CD
朝华_NN 97_CD
国家_NN 统计局_NN 96_CD
业务线_NN 96_CD
衍生_VV 产品_NN 96_CD
增资额_NN 96_CD
补价_NN 96_CD
中国_NR 网通_NN 95_CD
康达尔_NN 95_CD
划断_VV 95_CD
万_CD 邦达_NN 95_CD
洗盘_NN 95_CD
同济_AD 堂_VE 95_CD
广联_VV 达_VV 94_CD
九_CD 龙仓_NN 集团_NN 94_CD
收购者_NN 94_CD
华联_VV 商厦_NN 94_CD
奖励金_NN 94_CD
信立泰_NN 94_CD
超跌股_NN 93_CD
经贸大学_AD 93_CD
借出_VV 93_CD
万_CD 利达_NN 93_CD
澳优_NN 93_CD
暴_AD 升_VV 93_CD
累_AD 进税_VV 93_CD
合肥_NT 三洋93_NT
残余_NN 价值_NN 93_CD
汇丽_NN 91_CD
新锦_JJ 江_NN 91_CD
方_AD 大_JJ 集团_NN 90_CD
港股_NN 通_VV 90_CD
宝姿_NN 89_CD
新东方_NN 88_CD
昌源_NN 88_CD
锌业_NN 88_CD
拓尔思_VV 88_CD
公用_JJ 科技_NN 88_CD
银行学_NN 87_NN
大_JJ 北_NN 农_NN 86_CD
口令卡_NN 86_CD
封闭期_NN 86_CD
信联_NN 86_CD
前_JJ 手_NN 85_CD
存放_VV 处_NN 85_NN
双_CD 币卡_NN 85_CD
南玻_NN 集团_NN 85_CD
提额_NN 84_CD
领购簿_NN 84_CD
出_VV 千83_CD
共保_NT 83_CD
除_P 净_JJ 83_CD
新秀_JJ 丽83_NN
中彩网_NN 82_CD
第一_OD 财经_NN 82_CD
和_CC 讯_NN 82_CD
信达_NN 资产_NN 81_CD
泰达_NN 宏利_NN 基金_NN 81_CD
轮换_NN 制_VV 81_CD
资本_NR 品_NN 81_CD
理财_JJ 金81_NN
转换费_NN 80_CD
股分_NN 80_CD
中国_NR 工商_NN 银行_VV 80_CD
巨潮_JJ 80_NN
回档_NN 79_CD
芜湖港_NN 79_CD
除_P 息_NN 79_CD
嘉瑞_NN 78_CD
方源_NN 78_CD
斩仓_NN 78_CD
金元宝_NN 78_CD
万_CD 年薪_NN 78_CD
中_LC 服_VV 77_CD
美雅_NR 77_NN
快_JJ 公司_NN 77_CD
验审_NN 77_CD
换手率_NN 76_CD
贴现率_NN 74_CD
冷却期_NN 74_CD
香港_NN 交易所_NN 74_CD
银广夏_NN 74_CD
广_AD 发_VV 银行_NN 74_CD
贝_AD 因_P 美_NN 73_CD
聚友_NN 73_CD
华昌达_NN 73_CD
龙建_NN 73_CD
新股_JJ 72_NN
屯积_NN 72_CD
生意宝_NN 72_CD
仪化_NN 72_CD
皇台_NN 72_CD
买空_NN 卖空_NN 72_CD
奖励费_NN 71_CD
国祥_NN 71_CD
运营部_NN 71_CD
豪_AD 盛_VA 71_CD
下_NN 破_VV 71_CD
招行卡_NN 71_CD
拒批_NN 70_CD
康卡_NR 斯特_NR 70_CD
小盘_NN 70_CD
总水平_NN 70_CD
指标体_NN 系_VC 70_CD
甘化_NN 70_CD
流通股_NN 70_CD
负利率_NN 70_CD
环球企_NN 业家_NN 70_CD
德豪_NR 润达_NN 70_CD
非_AD 现金_NT 69_CD
宝诚_NN 69_CD
宝瑞_NN 通_VV 典_NN 当_P 行_NN 69_CD
关联_JJ 公司_NN 69_CD
商通卡_NN 69_CD
源发_NN 69_CD
合_AD 会_VV 6_CD 8_CD
先施_NN 6_CD 8_CD
双_CD 底_JJ 6_CD 8_CD
楔形_JJ 68_NN
新_JJ 韩_JJ 银行_NN 6_CD 8_CD
哈_NOI 药_NN 集团_NN 67_CD
通威_NR 股份_NN 67_CD
发展_NN 规划_NN 67_CD
艾迪西_NN 67_CD
欧洲_NN 货币_NN 67_CD
济柴_NN 67_CD
反洗_VV 钱法_NN 66_CD
北海港_NN 66_CD
金融_NN 体制_NN 66_CD
上市_JJ 规则_NN 65_CD
中_JJ 小板_NN 指_VV 65_CD
五_CD 矿_NN 证券_NN 65_CD
租方_NN 65_CD
